# This file was produced by the NASA Exoplanet Archive  http://exoplanetarchive.ipac.caltech.edu
# Fri Feb 27 10:18:53 2026
#
# User preference: *
#
# CONSTRAINT:  where (pl_name_display not null
# CONSTRAINT:  and pl_radestr not null
# CONSTRAINT:  and pl_bmassestr not null
# CONSTRAINT:  and pl_orbeccenstr not null
# CONSTRAINT:  and pl_insolstr not null
# CONSTRAINT:  and st_teffstr not null)
#
# COLUMN pl_name:        Planet Name
# COLUMN pl_rade:        Planet Radius [Earth Radius]
# COLUMN pl_bmasse:      Planet Mass or Mass*sin(i) [Earth Mass]
# COLUMN pl_orbeccen:    Eccentricity
# COLUMN pl_insol:       Insolation Flux [Earth Flux]
# COLUMN st_teff:        Stellar Effective Temperature [K]
#
pl_name,pl_rade,pl_bmasse,pl_orbeccen,pl_insol,st_teff
EPIC 201595106 b,1.56500000,7.67000000,0.000000,2852.0000,5679.00
EPIC 220674823 b,1.72500000,8.21000000,0.000000,4670.0000,5532.00
EPIC 220674823 b,1.67600000,7.80000000,0.000000,4656.0000,5578.00
EPIC 220674823 c,2.84000000,7.32000000,0.170000,70.0000,5578.00
EPIC 220674823 c,2.83600000,8.90000000,0.130000,70.0000,5532.00
EPIC 229004835 b,2.33200000,10.40000000,0.230000,69.7000,5868.00
EPIC 248847494 b,12.44199000,4131.79000000,0.000000,0.1900,4898.00
EPIC 249893012 b,1.95000000,8.75000000,0.060000,1037.0000,5430.00
EPIC 249893012 c,3.67000000,14.67000000,0.070000,160.0000,5430.00
EPIC 249893012 d,3.94000000,10.18000000,0.150000,53.0000,5430.00
G 9-40 b,1.90000000,4.00000000,0.000000,6.2700,3395.00
G 9-40 b,2.02500000,11.70000000,0.000000,7.2000,3348.00
GJ 1132 b,1.19151465,1.83704819,0.011800,19.3000,3229.00
GJ 1214 b,2.73300000,8.41000000,0.006200,17.2000,3101.00
GJ 1214 b,2.74200000,8.17000000,0.063000,21.0000,3250.00
GJ 3090 b,2.18000000,4.52000000,0.250000,45.4000,3707.00
GJ 341 b,0.88000000,4.00000000,0.000000,13.8000,3770.00
GJ 3473 b,1.26400000,1.86000000,0.000000,59.4000,3347.00
GJ 367 b,0.69900000,0.63300000,0.060000,579.0000,3522.00
GJ 3929 b,1.09000000,1.75000000,0.000000,17.3000,3384.00
GJ 486 b,1.28900000,2.77000000,0.000860,39.2000,3317.00
GJ 486 b,1.30500000,2.82000000,0.050000,40.3000,3340.00
GJ 486 b,1.34300000,3.00000000,0.000000,41.3000,3291.00
GJ 9827 b,1.57700000,5.14000000,0.063000,318.0000,4305.00
GJ 9827 c,1.24100000,1.30000000,0.094000,73.0000,4305.00
GJ 9827 d,2.02200000,3.53000000,0.130000,36.0000,4305.00
GPX-1 b,16.47720163,6261.21961790,0.000000,4650.0000,7000.00
Gliese 12 b,0.95800000,3.87000000,0.500000,1.6200,3296.00
HAT-P-25 b,12.72221500,180.84527000,0.023000,325.0000,5519.00
HAT-P-29 b,11.92637600,243.77561000,0.075000,433.0000,6115.00
HAT-P-32 b,22.19382000,216.12440000,0.159000,1841.0000,6001.00
HAT-P-36 b,15.21061300,611.82275000,0.063000,1821.0000,5560.00
HAT-P-58 b,14.93036229,118.23216740,0.073000,1146.0000,6078.00
HAT-P-59 b,12.58768533,489.45574678,0.030000,441.4000,5678.00
HAT-P-60 b,18.28184752,182.43350562,0.250000,1634.0000,6212.00
HAT-P-61 b,10.07687365,335.94462620,0.113000,849.5000,5587.00
HAT-P-62 b,12.02723629,241.86741773,0.101000,867.2000,5629.00
HAT-P-63 b,12.54284940,195.14664190,0.069000,387.4000,5400.00
HAT-P-64 b,19.08889413,184.34047606,0.101000,1611.0000,6457.00
HAT-P-68 b,12.01604800,230.10892000,0.041000,184.8000,4508.00
HAT-P-9 b,15.61413700,238.05467000,0.084000,931.0000,6350.00
HATS-17 b,8.70939300,425.25654000,0.029000,72.7000,5846.00
HATS-18 b,14.98643300,629.30340000,0.166000,2990.0000,5600.00
HATS-36 b,13.84311500,1022.14128000,0.105000,561.0000,6149.00
HATS-37 A b,6.79265400,31.46517000,0.000000,229.7000,5326.00
HATS-38 b,6.88232600,23.51942000,0.000000,464.7000,5732.00
HATS-47 b,12.52045300,117.27927000,0.088000,87.7300,4512.00
HATS-48 A b,8.96720000,77.23269000,0.162000,137.6000,4546.00
HATS-49 b,8.57488500,112.19399000,0.071000,80.4500,4405.00
HATS-59 b,12.62133400,256.17098000,0.129000,269.0000,5670.00
HATS-60 b,12.92397700,210.40346000,0.191000,903.9000,5688.00
HATS-61 b,13.39475500,1080.62200000,0.092000,374.2000,5542.00
HATS-62 b,11.82549500,56.89157000,0.298000,387.4000,5416.00
HATS-63 b,13.52926300,305.11680000,0.136000,634.1000,5627.00
HATS-64 b,18.81991100,305.11680000,0.151000,1711.0000,6554.00
HATS-65 b,16.82470900,260.93843000,0.062000,1178.0000,6277.00
HATS-66 b,15.81589900,1694.03390000,0.064000,2637.0000,6626.00
HATS-67 b,18.88716500,460.85350000,0.057000,3821.0000,6594.00
HATS-68 b,13.80948800,410.00070000,0.036000,1521.0000,6147.00
HATS-69 b,10.59250500,183.38791000,0.519000,466.6000,5137.00
HATS-70 b,15.51325600,4100.00700000,0.180000,9110.0000,7930.00
HATS-72 b,8.09738160,39.85588200,0.013000,49.5800,4656.10
HATS-74 A b,11.56766808,464.02947422,0.044000,106.9000,3776.90
HATS-75 b,9.90873894,156.05374784,0.064000,59.2600,3790.40
HATS-76 b,12.09449018,835.57088200,0.062000,129.8000,4016.00
HATS-77 b,13.05846252,436.69623122,0.045000,78.3700,4071.00
HD 110113 b,2.05000000,4.55000000,0.093000,735.4900,5732.00
HD 118203 b,12.73340208,688.41632956,0.314000,755.3000,5683.00
HD 118203 b,12.06086323,725.28442477,0.316000,593.4000,5872.00
HD 135694 b,2.51000000,5.70000000,0.420000,73.7000,5710.00
HD 136352 b,1.66400000,4.72000000,0.000000,111.6000,5664.00
HD 136352 b,1.48200000,4.62000000,0.079000,114.0000,5850.00
HD 136352 c,2.91600000,11.24000000,0.000000,35.1000,5664.00
HD 136352 c,2.60800000,11.29000000,0.037000,36.0000,5850.00
HD 136352 d,2.56200000,8.82000000,0.000000,5.7400,5664.00
HD 1397 b,11.50043400,131.89945000,0.251000,356.0000,5521.00
HD 152843 b,3.41000000,11.56000000,0.140000,255.7000,6310.00
HD 152843 b,3.05000000,9.82000000,0.046000,265.4000,6310.00
HD 152843 c,5.94000000,9.67000000,0.074000,133.1000,6310.00
HD 17156 b,12.26262489,1036.12060682,0.677200,68.8000,6046.00
HD 183579 b,3.55000000,19.70000000,0.280000,58.1000,5788.00
HD 18599 b,2.70000000,25.50000000,0.200000,145.0000,5083.00
HD 191939 b,3.41000000,10.00000000,0.031000,100.0000,5348.00
HD 191939 c,3.19500000,8.00000000,0.034000,21.0000,5348.00
HD 191939 d,2.99500000,2.80000000,0.031000,14.3000,5348.00
HD 202772 A b,17.31790500,323.23311000,0.038000,3440.0000,6272.00
HD 20329 b,1.72000000,7.42000000,0.000000,3474.0000,5596.00
HD 207496 b,2.25000000,6.10000000,0.231000,72.9000,4819.00
HD 207897 b,2.50100000,14.40000000,0.047000,26.5000,5070.00
HD 219134 b,1.60200000,4.74000000,0.000000,176.2000,4699.00
HD 219134 c,1.51100000,4.36000000,0.062000,62.1000,4699.00
HD 219134 d,1.61000000,16.17000000,0.138000,4.7200,4699.00
HD 219134 f,1.31000000,7.30000000,0.148000,12.3800,4699.00
HD 23472 b,2.00000000,8.32000000,0.072000,16.0000,4684.00
HD 23472 c,1.87000000,3.41000000,0.063000,7.9600,4684.00
HD 23472 d,0.75000000,0.55000000,0.070000,117.0000,4684.00
HD 23472 e,0.81800000,0.72000000,0.070000,46.7000,4684.00
HD 23472 f,1.13700000,0.77000000,0.070000,26.3000,4684.00
HD 25463 b,2.62000000,8.50000000,0.000000,461.4000,6220.00
HD 25463 c,1.50000000,4.10000000,0.000000,1413.5000,6220.00
HD 260655 b,1.24000000,2.14000000,0.039000,42.2000,3803.00
HD 260655 c,1.53300000,3.09000000,0.038000,16.1000,3803.00
HD 3167 b,1.70000000,5.02000000,0.000000,1625.0000,5261.00
HD 3167 b,1.67000000,4.97000000,0.000000,1650.0000,5261.00
HD 3167 c,3.01000000,9.80000000,0.267000,16.6000,5261.00
HD 3167 c,3.00000000,11.13000000,0.060000,16.9000,5261.00
HD 332231 b,9.71820300,77.55052000,0.032000,98.0900,6089.00
